@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 000030f0
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *000001f0 <= 00000002
@000041a8: $29 <= 000001f4
@000041ac: *000001f4 <= 000030f0
@000041b0: $29 <= 000001f8
@000041b4: *000001f8 <= 00000010
@000041b8: $29 <= 000001fc
@000041e8: $26 <= 000030f4
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 000030f4
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *000001fc <= 00000002
@000041a8: $29 <= 00000200
@000041ac: *00000200 <= 000030f4
@000041b0: $29 <= 00000204
@000041b4: *00000204 <= 00000010
@000041b8: $29 <= 00000208
@000041e8: $26 <= 000030f8
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 000030f8
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *00000208 <= 00000002
@000041a8: $29 <= 0000020c
@000041ac: *0000020c <= 000030f8
@000041b0: $29 <= 00000210
@000041b4: *00000210 <= 00000010
@000041b8: $29 <= 00000214
@000041e8: $26 <= 000030fc
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 000030fc
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *00000214 <= 00000002
@000041a8: $29 <= 00000218
@000041ac: *00000218 <= 000030fc
@000041b0: $29 <= 0000021c
@000041b4: *0000021c <= 00000010
@000041b8: $29 <= 00000220
@000041e8: $26 <= 00003100
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003100
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *00000220 <= 00000002
@000041a8: $29 <= 00000224
@000041ac: *00000224 <= 00003100
@000041b0: $29 <= 00000228
@000041b4: *00000228 <= 00000010
@000041b8: $29 <= 0000022c
@000041e8: $26 <= 00003104
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003104
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *0000022c <= 00000002
@000041a8: $29 <= 00000230
@000041ac: *00000230 <= 00003104
@000041b0: $29 <= 00000234
@000041b4: *00000234 <= 00000010
@000041b8: $29 <= 00000238
@000041e8: $26 <= 00003108
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003108
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *00000238 <= 00000002
@000041a8: $29 <= 0000023c
@000041ac: *0000023c <= 00003108
@000041b0: $29 <= 00000240
@000041b4: *00000240 <= 00000010
@000041b8: $29 <= 00000244
@000041e8: $26 <= 0000310c
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 0000310c
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *00000244 <= 00000002
@000041a8: $29 <= 00000248
@000041ac: *00000248 <= 0000310c
@000041b0: $29 <= 0000024c
@000041b4: *0000024c <= 00000010
@000041b8: $29 <= 00000250
@000041e8: $26 <= 00003110
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003110
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *00000250 <= 00000002
@000041a8: $29 <= 00000254
@000041ac: *00000254 <= 00003110
@000041b0: $29 <= 00000258
@000041b4: *00000258 <= 00000010
@000041b8: $29 <= 0000025c
@000041e8: $26 <= 00003114
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003114
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *0000025c <= 00000002
@000041a8: $29 <= 00000260
@000041ac: *00000260 <= 00003114
@000041b0: $29 <= 00000264
@000041b4: *00000264 <= 00000010
@000041b8: $29 <= 00000268
@000041e8: $26 <= 00003118
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 00003118
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *00000268 <= 00000002
@000041a8: $29 <= 0000026c
@000041ac: *0000026c <= 00003118
@000041b0: $29 <= 00000270
@000041b4: *00000270 <= 00000010
@000041b8: $29 <= 00000274
@000041e8: $26 <= 0000311c
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
@00004190: $22 <= 000031b4
@00004194: $23 <= 000031c0
@00004198: $26 <= 0000311c
@0000419c: $27 <= 00000010
@000041a0: $20 <= 00000002
@000041a4: *00000274 <= 00000002
@000041a8: $29 <= 00000278
@000041ac: *00000278 <= 0000311c
@000041b0: $29 <= 0000027c
@000041b4: *0000027c <= 00000010
@000041b8: $29 <= 00000280
@000041e8: $26 <= 00003120
@00004180: $16 <= 00008fff
@00004184: $17 <= 00003002
@00004188: $18 <= 00002ff8
@0000418c: $19 <= 000077f8
